Kod;Uprawnieni do głosowania;Ważnych kart;Oddane głosy;Trzecia Droga;Lewica;Prawo i Sprawiedliwość;Konfederacja;Koalicja Obywatelska;Data;Typ wyborów
1813000;56146;37077;36138;4638;1224;20698;3392;5022;2023-10-15;Sejmowe
1814000;60202;41406;40592;5217;1603;24346;3615;4733;2023-10-15;Sejmowe
1815000;56739;40543;39937;4558;1395;24492;4130;3959;2023-10-15;Sejmowe
1816000;130939;97176;95887;11640;3983;52173;9655;13732;2023-10-15;Sejmowe
1817000;70115;46367;45582;7347;2365;23100;3708;7975;2023-10-15;Sejmowe
1818000;78127;52674;51945;5176;2573;27612;4604;10452;2023-10-15;Sejmowe
1819000;47185;32252;31776;3352;1310;18381;3247;3653;2023-10-15;Sejmowe
1820000;40473;26783;26287;4298;1022;14379;2171;3584;2023-10-15;Sejmowe
1821000;24263;17114;16776;3395;767;7441;1378;3434;2023-10-15;Sejmowe
1861000;34357;24790;24556;3445;1575;10014;1990;6921;2023-10-15;Sejmowe
1862000;43532;29752;29347;3411;1799;12065;2454;8906;2023-10-15;Sejmowe
1863000;152046;119465;118537;17126;10007;38517;11560;36140;2023-10-15;Sejmowe
1864000;33878;24247;23993;3112;1421;9234;1710;7935;2023-10-15;Sejmowe
2001000;43285;28915;28337;4954;1861;13197;2598;4723;2023-10-15;Sejmowe
2002000;118039;87011;85689;16471;3588;35245;8862;18661;2023-10-15;Sejmowe
2003000;41433;28105;27536;5013;1416;11620;2685;6088;2023-10-15;Sejmowe
2004000;34932;22150;21579;3581;792;11291;2028;3127;2023-10-15;Sejmowe
2005000;34229;22613;22100;5345;1762;5751;2169;6334;2023-10-15;Sejmowe
2006000;28893;18221;17854;2697;509;10411;1678;1798;2023-10-15;Sejmowe
2007000;39077;26097;25588;3383;572;15083;2653;2863;2023-10-15;Sejmowe
2008000;30259;18639;18237;3159;551;9594;2067;2336;2023-10-15;Sejmowe
2009000;15207;9737;9507;2056;528;3888;774;1855;2023-10-15;Sejmowe
2010000;33506;21334;20893;3620;908;9580;2069;3995;2023-10-15;Sejmowe
2011000;50227;32541;31848;5470;1136;16054;3156;5064;2023-10-15;Sejmowe
2012000;27064;18416;17953;3294;787;8518;2017;2601;2023-10-15;Sejmowe
2013000;42840;30317;29848;4182;626;18368;3082;2686;2023-10-15;Sejmowe
2014000;33061;22272;21869;4075;639;11456;2091;2948;2023-10-15;Sejmowe
2061000;215144;167033;165276;36932;10921;51738;15980;44811;2023-10-15;Sejmowe
2062000;43912;31106;30732;4668;1088;13645;2596;7825;2023-10-15;Sejmowe
2063000;49986;34915;34398;5998;1794;12838;3143;9256;2023-10-15;Sejmowe
2201000;57426;38785;37977;4567;2831;14115;2919;12153;2023-10-15;Sejmowe
2202000;71034;50708;49763;6825;3717;18623;4057;14630;2023-10-15;Sejmowe
2203000;41687;27469;26763;3536;2367;8519;1919;9449;2023-10-15;Sejmowe
2204000;90985;70610;69381;11726;5044;15536;5000;29913;2023-10-15;Sejmowe
2205000;105414;82422;81134;11425;4950;27074;7016;25536;2023-10-15;Sejmowe
2206000;53688;39706;38906;5669;2372;14799;2929;11517;2023-10-15;Sejmowe
2207000;59656;39681;38571;5064;4200;12573;2789;12588;2023-10-15;Sejmowe
2208000;47011;33661;33083;4334;2772;9795;2435;12632;2023-10-15;Sejmowe
2209000;45807;31541;30837;4871;2764;8719;2038;11551;2023-10-15;Sejmowe
2210000;27425;18868;18384;2563;1291;5354;1168;7445;2023-10-15;Sejmowe
2211000;68212;52224;51430;7813;3743;14785;3750;19431;2023-10-15;Sejmowe
2212000;72802;49092;48037;6250;3991;14963;3460;17829;2023-10-15;Sejmowe
2213000;92744;64907;63228;9059;4208;24295;4506;18713;2023-10-15;Sejmowe
2214000;82523;58241;56880;9303;4163;18388;4074;19034;2023-10-15;Sejmowe
2215000;162157;124234;122620;17170;9099;34376;9926;47236;2023-10-15;Sejmowe
2216000;30459;18865;18123;2571;1379;6158;1036;6416;2023-10-15;Sejmowe
2261000;369589;301214;298367;43187;32730;59689;16843;139254;2023-10-15;Sejmowe
2262000;183307;148490;147305;20127;16573;29843;8136;68851;2023-10-15;Sejmowe
2263000;63200;46398;45881;5077;4472;12817;2656;19645;2023-10-15;Sejmowe
2264000;27963;22699;22516;2255;2188;4606;952;12095;2023-10-15;Sejmowe
2401000;112981;86052;84965;8412;18337;23026;4727;27780;2023-10-15;Sejmowe
2402000;126062;99346;98202;15562;7428;34373;8083;28405;2023-10-15;Sejmowe
2403000;136796;102077;100659;16415;9225;33164;7873;29118;2023-10-15;Sejmowe
2404000;105199;78372;76516;11797;6550;31150;5145;18841;2023-10-15;Sejmowe
2405000;85729;61329;60308;8918;4542;19845;4462;19121;2023-10-15;Sejmowe
2406000;65800;48268;47174;11540;3335;18305;3109;9138;2023-10-15;Sejmowe
2407000;59587;40925;39880;5585;1957;15178;3151;11873;2023-10-15;Sejmowe
2408000;74306;57895;57086;8802;3562;17937;4613;19872;2023-10-15;Sejmowe
2409000;54328;39691;38855;4711;3650;15575;2671;10913;2023-10-15;Sejmowe
2410000;82589;64308;63487;7863;4233;26331;5181;16571;2023-10-15;Sejmowe
2411000;78721;50676;49517;6613;3262;18228;3714;15510;2023-10-15;Sejmowe
2412000;57856;42649;41807;5324;2646;17983;3594;10148;2023-10-15;Sejmowe
2413000;107314;79315;78331;11523;6027;25530;5273;26359;2023-10-15;Sejmowe
2414000;44674;34118;33632;4335;1964;14735;2880;8029;2023-10-15;Sejmowe
2415000;115529;84083;82674;9403;4848;33985;6719;23473;2023-10-15;Sejmowe
2416000;90704;66976;65911;7896;8351;25589;4653;17518;2023-10-15;Sejmowe
2417000;116066;86672;85191;10764;5060;40169;6673;18832;2023-10-15;Sejmowe
2461000;125690;98699;97807;14174;8655;29469;7099;34751;2023-10-15;Sejmowe
2462000;109262;75128;73938;9135;7665;23072;5202;25903;2023-10-15;Sejmowe
2463000;74222;53869;53097;6533;4762;14475;3593;21636;2023-10-15;Sejmowe
2464000;160015;123049;121516;14065;15005;37548;7180;43548;2023-10-15;Sejmowe
2465000;88190;67467;66769;5937;17745;18465;3408;19450;2023-10-15;Sejmowe
2466000;129416;99910;98692;12558;9764;25641;6515;40642;2023-10-15;Sejmowe
2467000;63206;45552;44721;4360;3757;19120;3414;11968;2023-10-15;Sejmowe
2468000;67099;50472;49814;4963;8077;15465;3326;16295;2023-10-15;Sejmowe
2469000;218075;171695;169927;21672;17239;44275;10440;70649;2023-10-15;Sejmowe
2470000;53416;40453;39951;5006;3576;13831;2947;13181;2023-10-15;Sejmowe
2471000;39782;29271;28790;2610;1614;10665;1714;11205;2023-10-15;Sejmowe
2472000;98989;71890;70919;10618;4936;25188;4868;22606;2023-10-15;Sejmowe
2473000;98859;73329;72251;8990;5651;26184;5692;22238;2023-10-15;Sejmowe
2474000;47853;35813;35307;4397;3092;9599;2144;13650;2023-10-15;Sejmowe
2475000;147145;111668;110500;10013;29136;29844;5398;33476;2023-10-15;Sejmowe
2476000;34432;23878;23458;2850;1856;7551;1671;8601;2023-10-15;Sejmowe
2477000;91441;71896;71086;11804;5470;22139;4983;24039;2023-10-15;Sejmowe
2478000;118388;77478;76139;9547;7675;22739;5482;27686;2023-10-15;Sejmowe
2479000;45367;34072;33542;4033;2391;11793;2781;11195;2023-10-15;Sejmowe
2601000;57929;40583;39683;6285;2407;20034;2260;6680;2023-10-15;Sejmowe
2602000;65945;46344;45320;6395;2490;24479;2952;7171;2023-10-15;Sejmowe
2603000;26759;17046;16677;3084;826;8941;1023;2246;2023-10-15;Sejmowe
2604000;164814;119998;117448;14416;6966;60133;8931;19611;2023-10-15;Sejmowe
2605000;61775;43461;42489;4941;3836;21827;2569;7522;2023-10-15;Sejmowe
2606000;40074;26755;25940;3687;1391;14720;1877;3208;2023-10-15;Sejmowe
2607000;80764;54801;53599;7728;4269;23048;3253;13145;2023-10-15;Sejmowe
2608000;30969;20875;20377;3019;1236;10502;1272;3401;2023-10-15;Sejmowe
2609000;59344;40152;39268;8663;2169;18483;2541;6237;2023-10-15;Sejmowe
2610000;55774;40147;39433;4193;2917;15828;2322;12450;2023-10-15;Sejmowe
2611000;66999;46780;45865;5783;2954;21237;3213;10688;2023-10-15;Sejmowe
2612000;55186;37939;37049;4611;1884;20783;2705;5300;2023-10-15;Sejmowe
2613000;35318;24917;24397;3776;1335;13917;1588;2902;2023-10-15;Sejmowe
2661000;144403;112791;111587;14394;10368;36334;6691;37380;2023-10-15;Sejmowe
2801000;42268;26749;25836;3186;1760;9420;1523;9183;2023-10-15;Sejmowe
2802000;29423;18700;18081;2839;1375;6509;1204;5578;2023-10-15;Sejmowe
2803000;47967;32276;31231;4560;2496;13595;2152;7483;2023-10-15;Sejmowe
2804000;42452;27371;26515;3982;1991;9330;1722;8660;2023-10-15;Sejmowe
2805000;63813;40380;39415;5627;2570;14511;3301;11943;2023-10-15;Sejmowe
2806000;41467;28188;27388;4477;1863;8554;1783;9606;2023-10-15;Sejmowe
2807000;68794;47405;46072;8438;3202;16836;3499;12771;2023-10-15;Sejmowe
2808000;45107;27961;27066;3809;2289;9528;1759;8799;2023-10-15;Sejmowe
2809000;29627;19042;18431;2484;1282;6340;1248;6450;2023-10-15;Sejmowe
2810000;36613;24532;23856;4069;1370;7672;1612;8101;2023-10-15;Sejmowe
2811000;23998;15636;15060;1973;1010;6542;1092;3921;2023-10-15;Sejmowe
2812000;32190;21951;21313;5035;1069;9160;1717;3720;2023-10-15;Sejmowe
2813000;23995;14730;14293;2180;723;5504;1134;4198;2023-10-15;Sejmowe
2814000;97957;67555;65596;11824;5555;18811;4743;22491;2023-10-15;Sejmowe
2815000;76368;51012;49387;7628;4448;15961;3244;16745;2023-10-15;Sejmowe
2816000;40834;25777;25035;3619;1192;11296;1678;6278;2023-10-15;Sejmowe
2817000;52829;35121;33886;6488;2542;12673;2351;8738;2023-10-15;Sejmowe
2818000;18881;11699;11319;1792;742;4086;659;3495;2023-10-15;Sejmowe
2819000;16795;10853;10484;1872;912;3619;637;3043;2023-10-15;Sejmowe
2861000;86152;63425;62514;7949;6646;18222;3281;24820;2023-10-15;Sejmowe
2862000;127035;98942;97660;15277;10863;23636;6370;38726;2023-10-15;Sejmowe
3001000;35126;25950;25185;4554;2114;6469;1577;9062;2023-10-15;Sejmowe
3002000;63993;45478;44059;7341;3205;13807;2940;15282;2023-10-15;Sejmowe
3003000;108782;81520;79665;14734;11760;24586;5508;20502;2023-10-15;Sejmowe
3004000;56786;40040;38840;6089;4484;15165;3398;8006;2023-10-15;Sejmowe
3005000;38746;28009;27211;5065;2302;9043;2193;7577;2023-10-15;Sejmowe
3006000;53335;38795;37793;5993;3091;15101;2519;9899;2023-10-15;Sejmowe
3007000;64302;46305;45124;7524;2994;21472;3349;7936;2023-10-15;Sejmowe
3008000;42646;31493;30683;4363;1709;11193;2181;10251;2023-10-15;Sejmowe
3009000;64864;45298;44113;6253;2856;21866;3323;8148;2023-10-15;Sejmowe
3010000;100115;71359;69350;10034;5164;33583;4871;12453;2023-10-15;Sejmowe
3011000;60898;46024;44652;8592;3898;13901;2851;13667;2023-10-15;Sejmowe
3012000;57297;41204;40125;6824;3211;15671;2870;10030;2023-10-15;Sejmowe
3013000;44763;33326;32233;5983;2851;10271;2640;8935;2023-10-15;Sejmowe
3014000;27750;19767;19204;3066;2161;5334;1181;6867;2023-10-15;Sejmowe
3015000;56593;42509;41505;6316;2612;11217;2750;17255;2023-10-15;Sejmowe
3016000;43845;32967;31988;7673;2661;8582;2095;9813;2023-10-15;Sejmowe
3017000;121837;90782;88762;12395;7995;32211;6059;27182;2023-10-15;Sejmowe
3018000;42028;30407;29576;5767;2089;11480;2174;7056;2023-10-15;Sejmowe
3019000;98473;71847;70185;11379;5420;20713;4992;25273;2023-10-15;Sejmowe
3020000;47713;34239;33225;5986;2274;13334;2246;8241;2023-10-15;Sejmowe
3021000;314289;263014;259748;45698;25881;54017;16156;113125;2023-10-15;Sejmowe
3022000;45522;33198;32100;5721;3002;10982;2448;8675;2023-10-15;Sejmowe
3023000;45247;32213;31163;6982;2160;12161;1968;5617;2023-10-15;Sejmowe
3024000;70823;54084;52614;8436;3873;14160;3272;20968;2023-10-15;Sejmowe
3025000;45795;34683;33828;6356;3122;10411;2752;9795;2023-10-15;Sejmowe
3026000;46162;34145;33263;6160;3095;10270;2506;9597;2023-10-15;Sejmowe
3027000;63103;45768;44771;6729;3442;21089;3047;8522;2023-10-15;Sejmowe
3028000;51960;37822;36671;7770;3493;11170;2417;10700;2023-10-15;Sejmowe
3029000;43107;32295;31309;6368;2141;9445;2603;9575;2023-10-15;Sejmowe
3030000;59044;44581;43602;6890;3952;14370;3056;13648;2023-10-15;Sejmowe
3031000;50875;34386;33304;5028;2396;10361;2350;11742;2023-10-15;Sejmowe
3061000;72093;55160;54318;7316;4442;15728;3060;20948;2023-10-15;Sejmowe
3062000;53263;40035;39488;5602;4210;13856;2177;12298;2023-10-15;Sejmowe
3063000;45429;35356;34836;5075;4182;7907;2043;14164;2023-10-15;Sejmowe
3064000;408994;339152;336290;52891;47464;62649;19026;149654;2023-10-15;Sejmowe
3201000;33831;22009;21348;2244;1744;7057;1341;8416;2023-10-15;Sejmowe
3202000;34868;22753;21943;2543;2039;7783;1327;7515;2023-10-15;Sejmowe
3203000;41682;27300;26525;3927;2466;8609;1811;8969;2023-10-15;Sejmowe
3204000;62097;43763;42607;6171;3619;12849;2793;15894;2023-10-15;Sejmowe
3205000;44169;29741;28887;4463;2572;9542;1552;9934;2023-10-15;Sejmowe
3206000;59783;40848;39729;4492;3224;14147;2446;14066;2023-10-15;Sejmowe
3207000;36313;24839;24160;3083;2084;7371;1352;9556;2023-10-15;Sejmowe
3208000;65492;48669;47746;5438;4037;14362;2355;20254;2023-10-15;Sejmowe
3209000;49922;34773;33728;5190;2449;10333;2315;12253;2023-10-15;Sejmowe
3210000;47490;31751;30891;3321;3448;9858;1828;11303;2023-10-15;Sejmowe
3211000;60698;47593;46937;6332;4189;10828;2864;21321;2023-10-15;Sejmowe
3212000;28487;19196;18635;2477;1447;7782;1129;5002;2023-10-15;Sejmowe
3213000;42659;29058;28282;3225;2204;9716;1844;10232;2023-10-15;Sejmowe
3214000;88805;63963;62667;8092;5114;19881;3855;23336;2023-10-15;Sejmowe
3215000;55606;37167;36202;3921;2733;12847;2227;13442;2023-10-15;Sejmowe
3216000;34304;22310;21664;2881;2818;7642;1275;6516;2023-10-15;Sejmowe
3217000;38267;26424;25761;3408;2429;7701;1516;10053;2023-10-15;Sejmowe
3218000;26015;16420;15806;2714;1220;5605;894;4785;2023-10-15;Sejmowe
3261000;78643;59759;58950;6999;5182;14973;3368;26975;2023-10-15;Sejmowe
3262000;286421;223055;220706;26544;21585;55718;12996;97615;2023-10-15;Sejmowe
3263000;31531;23566;23283;2268;3530;5994;1233;9615;2023-10-15;Sejmowe
201000;68554;41194;41035;7359;852;17053;2759;12732;2020-06-28;Prezydenckie
202000;78876;46499;46340;7023;1002;20403;2824;14770;2020-06-28;Prezydenckie
203000;67357;42143;42019;6705;980;18568;2499;13000;2020-06-28;Prezydenckie
204000;27089;14642;14602;2296;292;7307;906;3722;2020-06-28;Prezydenckie
205000;39708;23406;23314;3324;479;11139;1528;6708;2020-06-28;Prezydenckie
206000;51306;31591;31481;5747;713;9898;1564;13331;2020-06-28;Prezydenckie
207000;34163;20092;20006;3104;418;8278;1096;6977;2020-06-28;Prezydenckie
208000;127323;74039;73793;11812;1548;30301;4240;25372;2020-06-28;Prezydenckie
209000;42292;25935;25833;3595;470;12585;1726;7286;2020-06-28;Prezydenckie
210000;42803;25151;25054;4868;534;9978;1278;8241;2020-06-28;Prezydenckie
211000;80840;51608;51469;6864;1182;24706;3699;14616;2020-06-28;Prezydenckie
212000;36031;20126;20049;3613;470;8349;1073;6388;2020-06-28;Prezydenckie
213000;28966;17338;17296;2575;329;8346;1026;4912;2020-06-28;Prezydenckie
214000;82925;50997;50817;9354;1012;20738;3296;16059;2020-06-28;Prezydenckie
215000;58842;39023;38904;6148;901;16446;2784;12374;2020-06-28;Prezydenckie
216000;47773;29014;28913;4354;577;15285;2142;6356;2020-06-28;Prezydenckie
217000;35190;21541;21470;3055;381;10819;1119;5945;2020-06-28;Prezydenckie
218000;42697;26859;26777;3776;465;11913;2124;8289;2020-06-28;Prezydenckie
219000;122236;75001;74763;11483;1659;30175;4772;26132;2020-06-28;Prezydenckie
220000;66749;42508;42365;6419;881;18463;2867;13428;2020-06-28;Prezydenckie
221000;43648;25579;25495;4603;611;9184;1414;9518;2020-06-28;Prezydenckie
222000;37919;22954;22851;3451;486;10543;1489;6720;2020-06-28;Prezydenckie
223000;114949;82425;82173;14156;1879;28331;5879;31210;2020-06-28;Prezydenckie
224000;51698;29929;29800;4245;526;14355;1508;8971;2020-06-28;Prezydenckie
225000;69729;42016;41865;7634;936;17001;2546;13453;2020-06-28;Prezydenckie
226000;34114;20199;20132;3281;370;9129;993;6203;2020-06-28;Prezydenckie
261000;61184;38970;38831;5794;1082;12048;1945;17654;2020-06-28;Prezydenckie
262000;73001;45800;45671;6676;1092;17842;2849;16876;2020-06-28;Prezydenckie
264000;503769;356701;355769;57409;13898;99770;25592;154972;2020-06-28;Prezydenckie
265000;82943;47673;47506;7537;1220;16048;2256;20142;2020-06-28;Prezydenckie
401000;44064;27175;27072;4045;535;12662;1733;7922;2020-06-28;Prezydenckie
402000;60584;35456;35355;6505;514;16956;2021;9112;2020-06-28;Prezydenckie
403000;90096;58890;58741;12723;1421;19107;3540;21507;2020-06-28;Prezydenckie
404000;38753;21985;21917;4174;452;9278;1313;6568;2020-06-28;Prezydenckie
405000;35185;20152;20109;3446;393;10221;1180;4735;2020-06-28;Prezydenckie
406000;30786;16713;16668;2893;325;8072;1169;4101;2020-06-28;Prezydenckie
407000;124492;74293;74078;12779;1635;29504;4406;25274;2020-06-28;Prezydenckie
408000;51702;27678;27567;5026;522;14192;1499;6152;2020-06-28;Prezydenckie
409000;36292;21134;21055;3897;479;9578;1293;5670;2020-06-28;Prezydenckie
410000;65792;38438;38332;7724;763;16013;2136;11452;2020-06-28;Prezydenckie
411000;33043;18867;18784;2810;303;10820;857;3874;2020-06-28;Prezydenckie
412000;34325;19148;19082;2965;369;9864;939;4823;2020-06-28;Prezydenckie
413000;31263;17692;17648;3394;336;7924;867;5011;2020-06-28;Prezydenckie
414000;75224;43068;42920;8221;826;18399;2519;12670;2020-06-28;Prezydenckie
415000;81313;50729;50569;9796;1061;19818;3506;16046;2020-06-28;Prezydenckie
416000;37661;22861;22804;4068;403;11201;1474;5495;2020-06-28;Prezydenckie
417000;26399;14442;14401;2271;266;6254;1041;4446;2020-06-28;Prezydenckie
418000;69088;38424;38271;6044;737;19821;1867;9568;2020-06-28;Prezydenckie
419000;54403;32032;31929;6129;617;14225;1857;8877;2020-06-28;Prezydenckie
461000;258368;172258;171863;32323;4776;53669;9768;70006;2020-06-28;Prezydenckie
462000;68083;40208;40095;6685;1130;14031;2443;15538;2020-06-28;Prezydenckie
463000;148917;101612;101374;17124;2940;31228;6619;42726;2020-06-28;Prezydenckie
464000;84171;51019;50826;7789;1447;17353;2485;21388;2020-06-28;Prezydenckie
601000;88236;53829;53624;7934;681;32136;4355;8009;2020-06-28;Prezydenckie
602000;81457;50181;50015;5555;648;32327;4706;6362;2020-06-28;Prezydenckie
603000;62714;33958;33830;4585;427;21198;2422;4902;2020-06-28;Prezydenckie
604000;52007;28438;28329;3739;335;17759;1753;4539;2020-06-28;Prezydenckie
605000;37018;24387;24287;1898;259;18226;1734;1946;2020-06-28;Prezydenckie
606000;52726;30203;30109;3748;533;18038;2235;5284;2020-06-28;Prezydenckie
607000;75944;46562;46398;5581;765;29492;3329;6876;2020-06-28;Prezydenckie
608000;70445;44528;44354;5697;611;27380;3860;6419;2020-06-28;Prezydenckie
609000;122230;80348;80083;11484;1169;45622;7393;13668;2020-06-28;Prezydenckie
610000;44411;27668;27596;3658;319;16119;2943;4330;2020-06-28;Prezydenckie
611000;83026;53598;53381;6152;511;35830;4288;6188;2020-06-28;Prezydenckie
612000;48188;28774;28674;3742;405;18107;2092;4127;2020-06-28;Prezydenckie
613000;28224;16592;16539;2489;224;9732;1341;2601;2020-06-28;Prezydenckie
614000;91564;59582;59389;8003;1147;31611;4760;13292;2020-06-28;Prezydenckie
615000;47351;28905;28812;3903;335;18466;2295;3567;2020-06-28;Prezydenckie
616000;44706;28981;28870;4023;480;17517;1885;4742;2020-06-28;Prezydenckie
617000;56541;35949;35826;4869;663;19634;2822;7529;2020-06-28;Prezydenckie
618000;68120;38887;38756;4494;434;24962;3032;5542;2020-06-28;Prezydenckie
619000;31831;18760;18673;3278;344;9794;1280;3816;2020-06-28;Prezydenckie
620000;87292;52038;51847;6036;601;34324;3901;6558;2020-06-28;Prezydenckie
661000;44122;28477;28407;4934;601;13308;2221;7083;2020-06-28;Prezydenckie
662000;49050;29616;29527;4438;655;13348;2089;8723;2020-06-28;Prezydenckie
663000;262007;176091;175685;26182;4263;71730;14413;57134;2020-06-28;Prezydenckie
664000;50502;30405;30331;4321;600;14574;2254;8334;2020-06-28;Prezydenckie
801000;54571;33683;33571;6264;777;11262;2296;12712;2020-06-28;Prezydenckie
802000;42577;24805;24724;6187;480;8361;1353;8212;2020-06-28;Prezydenckie
803000;45954;27567;27460;5816;566;9645;1523;9717;2020-06-28;Prezydenckie
804000;65718;39764;39618;8738;630;15034;2024;12963;2020-06-28;Prezydenckie
805000;35605;21042;20972;4209;473;6870;1326;7963;2020-06-28;Prezydenckie
806000;38407;21672;21608;4242;411;8390;1147;7272;2020-06-28;Prezydenckie
807000;27376;15886;15823;2925;304;6292;1073;5110;2020-06-28;Prezydenckie
808000;43255;26306;26229;5375;562;9220;1805;9067;2020-06-28;Prezydenckie
809000;58412;35953;35819;7374;712;11979;2415;13108;2020-06-28;Prezydenckie
810000;60755;34886;34740;6849;811;14019;1929;10882;2020-06-28;Prezydenckie
811000;74117;43133;42997;9820;883;15075;2554;14404;2020-06-28;Prezydenckie
812000;30288;17763;17712;2928;404;8360;1063;4824;2020-06-28;Prezydenckie
861000;91547;59016;58839;9715;1428;18331;3828;25086;2020-06-28;Prezydenckie
862000;104944;73515;73337;13731;1972;19056;4407;33574;2020-06-28;Prezydenckie
1001000;88016;58555;58374;7865;1179;33460;4877;10422;2020-06-28;Prezydenckie
1002000;77525;47127;46965;5835;951;25424;2549;11923;2020-06-28;Prezydenckie
1003000;40380;26384;26319;4187;502;13398;1785;6244;2020-06-28;Prezydenckie
1004000;41223;24682;24596;3260;378;14637;1374;4780;2020-06-28;Prezydenckie
1005000;63265;40831;40687;6155;726;23074;2883;7541;2020-06-28;Prezydenckie
1006000;57003;40552;40394;6570;868;18029;2901;11694;2020-06-28;Prezydenckie
1007000;60327;41054;40932;5628;441;26973;2607;5010;2020-06-28;Prezydenckie
1008000;93812;62557;62348;10231;1601;24956;3664;21329;2020-06-28;Prezydenckie
1009000;41675;26295;26193;3489;469;16140;1630;4290;2020-06-28;Prezydenckie
1010000;72958;47863;47708;6279;666;30518;3236;6674;2020-06-28;Prezydenckie
1011000;33760;21056;20968;3572;329;11799;1029;4098;2020-06-28;Prezydenckie
1012000;90583;55929;55731;7572;1109;31031;3240;12348;2020-06-28;Prezydenckie
1013000;38593;24206;24114;3450;318;14424;1639;4097;2020-06-28;Prezydenckie
1014000;93573;58805;58590;8665;1126;33070;3525;11761;2020-06-28;Prezydenckie
1015000;30338;20544;20467;2947;253;13240;1406;2479;2020-06-28;Prezydenckie
1016000;90966;59928;59734;8759;1130;31607;3961;13860;2020-06-28;Prezydenckie
1017000;61130;39056;38930;6516;675;21040;2347;8093;2020-06-28;Prezydenckie
1018000;33557;20651;20556;3578;329;10951;1502;4072;2020-06-28;Prezydenckie
1019000;51683;33494;33410;5381;787;16534;2027;8407;2020-06-28;Prezydenckie
1020000;130589;87722;87458;14508;2137;36318;5065;28788;2020-06-28;Prezydenckie
1021000;24405;16120;16053;2670;258;8649;981;3366;2020-06-28;Prezydenckie
1061000;522350;351820;350754;56804;11259;107557;19790;152376;2020-06-28;Prezydenckie
1062000;56716;37098;36988;6032;944;16078;2190;11453;2020-06-28;Prezydenckie
1063000;36591;25397;25338;4586;587;10278;1551;8104;2020-06-28;Prezydenckie
1201000;82771;57104;56951;7321;697;35473;4423;8640;2020-06-28;Prezydenckie
1202000;72797;46299;46161;5996;539;28629;4365;6352;2020-06-28;Prezydenckie
1203000;97642;64326;64146;10465;1439;27663;4412;19662;2020-06-28;Prezydenckie
1204000;47058;26697;26598;3167;243;18518;1854;2675;2020-06-28;Prezydenckie
1205000;86329;53562;53391;6739;634;32537;4164;8967;2020-06-28;Prezydenckie
1206000;217961;151863;151429;24228;2664;74488;11473;37330;2020-06-28;Prezydenckie
1207000;99826;67337;67123;6111;583;48046;5203;6784;2020-06-28;Prezydenckie
1208000;39891;24381;24307;3338;393;14950;1488;3937;2020-06-28;Prezydenckie
1209000;98333;68613;68415;8464;763;41649;6024;10976;2020-06-28;Prezydenckie
1210000;165575;113637;113310;10051;1007;80110;9032;12479;2020-06-28;Prezydenckie
1211000;149487;91004;90727;9810;964;58003;7946;13405;2020-06-28;Prezydenckie
1212000;88579;59166;58971;8707;1231;29616;4189;14791;2020-06-28;Prezydenckie
1213000;120157;81908;81670;12614;1503;38342;5922;22715;2020-06-28;Prezydenckie
1214000;34882;20869;20802;2939;251;13414;1280;2775;2020-06-28;Prezydenckie
1215000;66552;42850;42721;4774;515;25732;3799;7619;2020-06-28;Prezydenckie
1216000;158228;99369;99079;12535;1060;64369;8078;12404;2020-06-28;Prezydenckie
1217000;56469;37316;37219;4685;482;20874;2695;8243;2020-06-28;Prezydenckie
1218000;124865;82730;82487;12713;1094;43893;6274;17912;2020-06-28;Prezydenckie
1219000;99191;69082;68901;12151;1089;32399;5582;17132;2020-06-28;Prezydenckie
1261000;606178;433674;432777;77707;15292;137775;32690;164340;2020-06-28;Prezydenckie
1262000;63724;42963;42865;5206;697;22116;3493;11011;2020-06-28;Prezydenckie
1263000;86573;55302;55184;8796;1090;23856;4217;16801;2020-06-28;Prezydenckie
1401000;26594;17793;17715;1993;184;11884;988;2539;2020-06-28;Prezydenckie
1402000;70546;43078;42946;5764;755;23786;2684;9565;2020-06-28;Prezydenckie
1403000;84867;59115;58874;7302;574;38391;4307;7844;2020-06-28;Prezydenckie
1404000;36289;21914;21820;2855;346;12636;1137;4712;2020-06-28;Prezydenckie
1405000;73006;52793;52627;9318;1175;19658;3162;18843;2020-06-28;Prezydenckie
1406000;78084;51444;51263;8511;769;27764;3318;10482;2020-06-28;Prezydenckie
1407000;49227;32094;31969;3612;430;19518;2145;6035;2020-06-28;Prezydenckie
1408000;90166;65638;65448;10508;1516;23893;3609;25252;2020-06-28;Prezydenckie
1409000;28006;16047;15987;2047;207;10339;991;2307;2020-06-28;Prezydenckie
1410000;25147;15496;15442;1814;206;10237;1219;1828;2020-06-28;Prezydenckie
1411000;35843;22103;22019;2645;251;14064;1377;3543;2020-06-28;Prezydenckie
1412000;118907;82920;82629;14068;1384;40832;5615;19964;2020-06-28;Prezydenckie
1413000;56572;33679;33534;4517;454;19190;2197;6941;2020-06-28;Prezydenckie
1414000;62147;40949;40811;6570;746;18894;2410;11848;2020-06-28;Prezydenckie
1415000;69907;41782;41621;5413;386;27293;3160;5069;2020-06-28;Prezydenckie
1416000;57827;36707;36586;4310;473;23356;2411;5804;2020-06-28;Prezydenckie
1417000;95597;69712;69453;11481;1180;31668;4809;19693;2020-06-28;Prezydenckie
1418000;139530;103301;102917;17418;2385;35102;6158;40932;2020-06-28;Prezydenckie
