Kod;Uprawnieni do głosowania;Ważnych kart;Oddane głosy;Trzecia Droga;Lewica;Prawo i Sprawiedliwość;Konfederacja;Koalicja Obywatelska;Data;Typ wyborów
3020000;48397;16438;16293;1805;745;6513;2296;4630;2024-06-09;Europarlament
3021000;314491;149298;148535;13546;12828;28411;17744;73464;2024-06-09;Europarlament
3022000;46000;15051;14869;1414;1038;5111;2198;4722;2024-06-09;Europarlament
3023000;45861;15330;15187;2451;1061;5818;2291;3298;2024-06-09;Europarlament
3024000;70890;25706;25487;3018;1691;6631;3436;10235;2024-06-09;Europarlament
3025000;45361;16210;16083;1687;1219;4856;2472;5527;2024-06-09;Europarlament
3026000;46195;15787;15662;1439;1330;4674;2277;5613;2024-06-09;Europarlament
3027000;64286;21943;21765;1847;1202;10293;3186;4840;2024-06-09;Europarlament
3028000;52724;18327;18137;2087;1586;5375;2513;6111;2024-06-09;Europarlament
3029000;43647;14687;14561;1943;781;4560;2140;4750;2024-06-09;Europarlament
3030000;58965;21549;21406;2140;1264;7015;3258;7321;2024-06-09;Europarlament
3031000;52053;17145;16956;1784;982;5080;2374;6381;2024-06-09;Europarlament
3061000;72283;31229;31105;2553;2313;8887;3404;13547;2024-06-09;Europarlament
3062000;53543;21855;21739;1368;1841;7342;2431;8480;2024-06-09;Europarlament
3063000;45440;19032;18924;1218;1844;4100;2382;9152;2024-06-09;Europarlament
3064000;386472;196792;196044;14861;24870;34666;18834;100569;2024-06-09;Europarlament
3201000;34650;10606;10511;458;849;3339;989;4757;2024-06-09;Europarlament
3202000;35898;11552;11429;731;1118;4011;1098;4354;2024-06-09;Europarlament
3203000;42961;13496;13374;943;1043;4232;1241;5741;2024-06-09;Europarlament
3204000;62819;21888;21673;1424;1787;6785;2145;9224;2024-06-09;Europarlament
3205000;49436;19407;19276;1457;1536;6094;1390;8601;2024-06-09;Europarlament
3206000;60683;20141;19980;1072;1391;7414;2045;7814;2024-06-09;Europarlament
3207000;38716;16144;16037;1116;1382;4767;1293;7294;2024-06-09;Europarlament
3208000;67497;30424;30217;2137;3209;8338;2109;14149;2024-06-09;Europarlament
3209000;53990;20667;20475;1236;1627;6244;1937;9112;2024-06-09;Europarlament
3210000;48614;15344;15208;835;1158;5317;1508;6215;2024-06-09;Europarlament
3211000;61199;27068;26920;1646;2525;6145;2828;13419;2024-06-09;Europarlament
3212000;29006;9503;9413;655;460;4113;1078;3012;2024-06-09;Europarlament
3213000;45815;17917;17786;1002;1398;6052;1557;7556;2024-06-09;Europarlament
3214000;89953;33797;33544;2393;2919;10821;3266;13687;2024-06-09;Europarlament
3215000;57145;18889;18735;828;1537;6904;1652;7627;2024-06-09;Europarlament
3216000;35477;11212;11113;691;976;3907;984;4403;2024-06-09;Europarlament
3217000;39050;12925;12806;807;1264;3586;1107;5869;2024-06-09;Europarlament
3218000;26600;7932;7854;572;409;2685;702;3418;2024-06-09;Europarlament
3261000;78877;33695;33520;1993;3703;8380;2670;16383;2024-06-09;Europarlament
3262000;280256;131161;130623;7302;13819;33295;12149;62659;2024-06-09;Europarlament
3263000;31384;14004;13934;773;1768;3426;1244;6578;2024-06-09;Europarlament
