"Kod";"Nazwa";"łóżka w szpitalach ogólnych;2018;[-]";"łóżka w szpitalach ogólnych;2019;[-]";"łóżka w szpitalach ogólnych;2020;[-]";"łóżka w szpitalach ogólnych;2021;[-]";"łóżka w szpitalach ogólnych;2022;[-]";"łóżka w szpitalach ogólnych;2023;[-]";
1409000;"Powiat lipski";234;215;211;211;211;207;
1410000;"Powiat łosicki";123;111;111;111;111;111;
1411000;"Powiat makowski";219;187;192;192;187;179;
1412000;"Powiat miński";411;315;289;404;259;294;
1413000;"Powiat mławski";201;182;171;171;171;171;
1414000;"Powiat nowodworski";174;174;174;164;176;178;
1416000;"Powiat ostrowski";231;199;198;194;190;201;
1417000;"Powiat otwocki";1161;1091;1144;1037;1016;976;
1418000;"Powiat piaseczyński";821;763;765;724;776;723;
1420000;"Powiat płoński";270;258;253;259;259;216;
1421000;"Powiat pruszkowski";432;407;387;387;381;381;
1422000;"Powiat przasnyski";293;261;261;261;255;255;
1423000;"Powiat przysuski";73;45;45;50;50;40;
1424000;"Powiat pułtuski";207;165;165;161;145;135;
1425000;"Powiat radomski";230;188;195;185;167;188;
1427000;"Powiat sierpecki";194;155;155;155;155;132;
1428000;"Powiat sochaczewski";349;291;165;165;165;159;
1429000;"Powiat sokołowski";237;237;272;278;268;262;
1432000;"Powiat warszawski zachodni";85;68;72;72;78;86;
1433000;"Powiat węgrowski";167;162;162;162;162;137;
1434000;"Powiat wołomiński";342;294;277;284;284;273;
1435000;"Powiat wyszkowski";227;203;193;193;183;183;
1436000;"Powiat zwoleński";45;40;30;49;45;40;
1437000;"Powiat żuromiński";151;99;108;117;97;94;
1438000;"Powiat żyrardowski";272;247;247;247;247;247;
1461000;"Powiat m. Ostrołęka";528;491;501;589;501;531;
1462000;"Powiat m. Płock";1064;1041;1215;1024;954;967;
1463000;"Powiat m. Radom";1400;1317;1327;1395;1253;1225;
1464000;"Powiat m. Siedlce";848;800;815;780;834;797;
1465000;"Powiat m. st. Warszawa";12350;11970;12149;12956;12029;11681;
1601000;"Powiat brzeski";208;204;225;246;200;199;
1602000;"Powiat głubczycki";136;105;162;238;226;105;
1603000;"Powiat kędzierzyńsko-kozielski";388;368;396;426;386;373;
1604000;"Powiat kluczborski";207;166;122;156;126;160;
1605000;"Powiat krapkowicki";132;116;116;118;118;118;
1606000;"Powiat namysłowski";196;182;196;184;180;172;
1607000;"Powiat nyski";1104;983;1049;1070;1091;1024;
1608000;"Powiat oleski";201;148;159;172;152;152;
1609000;"Powiat opolski";240;209;215;209;209;199;
1610000;"Powiat prudnicki";169;140;164;159;147;355;
1611000;"Powiat strzelecki";170;157;161;157;157;148;
1661000;"Powiat m. Opole";1267;1061;1057;1241;1230;1025;
1801000;"Powiat bieszczadzki";131;105;70;80;80;80;
1802000;"Powiat brzozowski";441;441;441;431;395;394;
1803000;"Powiat dębicki";510;474;478;479;433;424;
1804000;"Powiat jarosławski";305;292;292;292;276;288;
1805000;"Powiat jasielski";409;361;359;359;360;354;
1806000;"Powiat kolbuszowski";183;149;132;95;120;95;
1808000;"Powiat leżajski";417;376;376;365;358;352;
1809000;"Powiat lubaczowski";229;229;229;229;229;229;
1810000;"Powiat łańcucki";305;290;290;290;301;294;
1811000;"Powiat mielecki";523;490;494;494;469;448;
1812000;"Powiat niżański";230;192;192;192;192;217;
1814000;"Powiat przeworski";300;250;250;250;222;250;
1815000;"Powiat ropczycko-sędziszowski";81;85;85;85;82;100;
1816000;"Powiat rzeszowski";259;254;254;254;287;287;
1817000;"Powiat sanocki";372;336;327;336;319;319;
1818000;"Powiat stalowowolski";561;546;445;546;495;507;
1819000;"Powiat strzyżowski";123;99;105;105;105;105;
1820000;"Powiat tarnobrzeski";252;231;236;236;213;213;
1821000;"Powiat leski";175;175;175;198;182;153;
1861000;"Powiat m. Krosno";688;535;535;468;511;511;
1862000;"Powiat m. Przemyśl";728;766;624;584;564;550;
1863000;"Powiat m. Rzeszów";2354;2314;2287;2393;2247;2269;
1864000;"Powiat m. Tarnobrzeg";359;359;369;306;262;247;
2001000;"Powiat augustowski";330;313;324;311;304;299;
2002000;"Powiat białostocki";90;82;84;88;102;91;
2003000;"Powiat bielski";254;203;266;236;226;194;
2004000;"Powiat grajewski";258;232;223;255;198;198;
2005000;"Powiat hajnowski";316;289;317;320;310;294;
2006000;"Powiat kolneński";139;115;139;0;128;113;
2008000;"Powiat moniecki";216;161;161;143;156;156;
2009000;"Powiat sejneński";94;88;94;94;94;94;
2010000;"Powiat siemiatycki";142;122;122;122;122;122;
2011000;"Powiat sokólski";210;197;195;196;189;189;
2013000;"Powiat wysokomazowiecki";156;134;120;164;117;157;
2014000;"Powiat zambrowski";116;84;92;101;86;116;
2061000;"Powiat m. Białystok";2454;2116;2328;2613;2317;2328;
2062000;"Powiat m. Łomża";606;476;462;447;462;463;
2063000;"Powiat m. Suwałki";507;474;474;472;482;482;
2201000;"Powiat bytowski";244;232;231;227;226;222;
2202000;"Powiat chojnicki";420;400;473;422;409;408;
2203000;"Powiat człuchowski";198;141;104;96;104;130;
2205000;"Powiat kartuski";229;154;162;128;147;232;
2206000;"Powiat kościerski";525;502;500;473;509;537;
2207000;"Powiat kwidzyński";272;263;275;281;266;272;
2208000;"Powiat lęborski";267;261;260;258;266;242;
2209000;"Powiat malborski";145;131;144;140;143;114;
2210000;"Powiat nowodworski";417;617;632;283;28;28;
2211000;"Powiat pucki";325;174;153;123;157;157;
2213000;"Powiat starogardzki";354;274;241;274;290;333;
2214000;"Powiat tczewski";262;260;260;261;261;261;
2215000;"Powiat wejherowski";485;425;426;407;417;419;
2216000;"Powiat sztumski";283;236;236;241;256;229;
2261000;"Powiat m. Gdańsk";2948;2822;3008;2997;2845;2707;
2262000;"Powiat m. Gdynia";784;682;649;629;665;695;
2263000;"Powiat m. Słupsk";669;630;607;596;561;607;
2264000;"Powiat m. Sopot";273;229;254;74;270;194;
2401000;"Powiat będziński";413;403;363;348;337;363;
2402000;"Powiat bielski";626;552;543;492;502;499;
2403000;"Powiat cieszyński";1851;1832;1842;1872;1824;1678;
2404000;"Powiat częstochowski";167;137;137;152;117;120;
2405000;"Powiat gliwicki";474;406;420;418;416;417;
2406000;"Powiat kłobucki";120;120;115;115;115;115;
2407000;"Powiat lubliniecki";343;305;291;291;291;293;
2408000;"Powiat mikołowski";315;317;320;294;320;320;
2409000;"Powiat myszkowski";218;228;194;199;199;184;
2410000;"Powiat pszczyński";428;410;416;418;432;437;
2411000;"Powiat raciborski";434;355;283;276;296;317;
2413000;"Powiat tarnogórski";1120;1150;1116;1280;1038;1042;
2414000;"Powiat bieruńsko-lędziński";46;46;46;46;46;46;
2415000;"Powiat wodzisławski";557;492;462;472;445;399;
2416000;"Powiat zawierciański";347;347;349;300;300;333;
2417000;"Powiat żywiecki";399;363;278;313;320;326;
2461000;"Powiat m. Bielsko-Biała";1300;1226;1193;1125;1160;1173;
2462000;"Powiat m. Bytom";1152;1135;1107;897;828;833;
2463000;"Powiat m. Chorzów";919;810;801;853;796;798;
2464000;"Powiat m. Częstochowa";1585;1553;1468;1404;1397;1386;
2465000;"Powiat m. Dąbrowa Górnicza";478;459;445;440;436;436;
2466000;"Powiat m. Gliwice";1039;898;918;883;839;873;
2467000;"Powiat m. Jastrzębie-Zdrój";564;554;554;559;559;559;
2468000;"Powiat m. Jaworzno";400;400;343;309;343;297;
2469000;"Powiat m. Katowice";3642;3401;3442;3361;3343;3334;
2470000;"Powiat m. Mysłowice";199;199;195;195;154;158;
2471000;"Powiat m. Piekary Śląskie";420;386;387;360;360;350;
2472000;"Powiat m. Ruda Śląska";437;429;429;444;454;441;
2473000;"Powiat m. Rybnik";710;637;694;595;585;533;
2474000;"Powiat m. Siemianowice Śląskie";390;337;311;326;312;305;
2475000;"Powiat m. Sosnowiec";1393;1346;1189;1192;1159;1093;
2476000;"Powiat m. Świętochłowice";277;233;236;227;209;202;
2477000;"Powiat m. Tychy";558;483;458;452;470;442;
2478000;"Powiat m. Zabrze";1193;1174;1159;1155;1083;1063;
2479000;"Powiat m. Żory";175;164;164;169;167;159;
2601000;"Powiat buski";387;380;378;394;335;345;
2602000;"Powiat jędrzejowski";176;148;152;156;138;138;
2603000;"Powiat kazimierski";57;48;48;48;48;48;
2604000;"Powiat kielecki";448;421;419;419;463;470;
2605000;"Powiat konecki";522;522;521;521;521;521;
2606000;"Powiat opatowski";49;49;74;66;66;68;
2607000;"Powiat ostrowiecki";447;363;344;395;330;330;
2608000;"Powiat pińczowski";115;93;93;93;93;93;
2609000;"Powiat sandomierski";479;479;508;488;479;489;
2610000;"Powiat skarżyski";302;251;251;251;231;231;
2611000;"Powiat starachowicki";350;327;327;335;337;333;
2612000;"Powiat staszowski";362;375;375;375;309;299;
2613000;"Powiat włoszczowski";217;167;167;167;168;168;
2661000;"Powiat m. Kielce";1810;1725;1747;1796;1684;1685;
2801000;"Powiat bartoszycki";303;280;297;275;306;315;
2802000;"Powiat braniewski";89;78;118;105;63;66;
2803000;"Powiat działdowski";281;257;252;260;257;264;
2804000;"Powiat elbląski";45;45;40;17;30;55;
2805000;"Powiat ełcki";454;454;436;402;397;365;
2806000;"Powiat giżycki";243;225;211;225;227;233;
2807000;"Powiat iławski";277;356;351;352;347;338;
2808000;"Powiat kętrzyński";141;110;87;107;83;86;
2809000;"Powiat lidzbarski";108;86;86;80;41;41;
2810000;"Powiat mrągowski";143;133;207;113;133;123;
2811000;"Powiat nidzicki";89;122;78;143;96;67;
2812000;"Powiat nowomiejski";102;104;122;114;104;101;
2813000;"Powiat olecki";100;96;178;96;143;91;
2814000;"Powiat olsztyński";448;445;443;438;445;441;
2815000;"Powiat ostródzki";280;271;275;264;260;260;
2816000;"Powiat piski";178;149;149;149;154;154;
2817000;"Powiat szczycieński";137;122;188;248;139;139;
2818000;"Powiat gołdapski";54;44;44;43;39;43;
2819000;"Powiat węgorzewski";99;90;90;90;90;90;
2861000;"Powiat m. Elbląg";1084;1082;1051;997;994;955;
2862000;"Powiat m. Olsztyn";1756;1692;1678;1907;1988;1992;
3001000;"Powiat chodzieski";190;159;156;156;156;156;
3002000;"Powiat czarnkowsko-trzcianecki";293;254;244;227;249;226;
3003000;"Powiat gnieźnieński";290;269;256;295;265;289;
3004000;"Powiat gostyński";279;263;263;273;172;272;
3005000;"Powiat grodziski";107;110;110;111;111;111;
3006000;"Powiat jarociński";182;174;164;164;0;0;
3007000;"Powiat kaliski";147;120;0;120;133;137;
3008000;"Powiat kępiński";253;184;187;188;186;155;
3009000;"Powiat kolski";224;224;224;190;173;148;
3011000;"Powiat kościański";241;237;237;239;240;241;
3012000;"Powiat krotoszyński";243;187;197;197;204;197;
3013000;"Powiat leszczyński";134;122;122;122;226;226;
3014000;"Powiat międzychodzki";151;115;122;106;107;107;
3015000;"Powiat nowotomyski";205;141;180;0;180;0;
3016000;"Powiat obornicki";279;127;147;347;336;345;
3017000;"Powiat ostrowski";519;487;492;477;497;496;
3018000;"Powiat ostrzeszowski";0;113;137;0;0;0;
3019000;"Powiat pilski";656;615;509;508;583;507;
3020000;"Powiat pleszewski";329;293;345;335;335;290;
3021000;"Powiat poznański";330;273;309;389;302;299;
3022000;"Powiat rawicki";140;127;0;93;128;128;
3023000;"Powiat słupecki";243;0;175;175;170;162;
3024000;"Powiat szamotulski";177;138;134;134;131;126;
3025000;"Powiat średzki";146;141;147;157;162;172;
3026000;"Powiat śremski";349;283;283;283;283;275;
3027000;"Powiat turecki";181;156;156;157;168;150;
3028000;"Powiat wągrowiecki";167;107;107;107;107;91;
3029000;"Powiat wolsztyński";183;173;173;175;175;171;
3030000;"Powiat wrzesiński";263;205;191;198;224;240;
3031000;"Powiat złotowski";304;265;244;244;244;244;
3061000;"Powiat m. Kalisz";853;701;708;712;668;674;
3062000;"Powiat m. Konin";910;733;752;760;760;744;
3063000;"Powiat m. Leszno";450;440;440;440;440;424;
