"Kod";"Nazwa";"ogółem;2018;[osoba]";"ogółem;2019;[osoba]";"ogółem;2020;[osoba]";"ogółem;2021;[osoba]";"ogółem;2022;[osoba]";"ogółem;2023;[osoba]";
1061000;"Powiat m. Łódź";119;119;119;119;119;119;
1062000;"Powiat m. Piotrków Trybunalski";114;114;114;114;114;114;
1063000;"Powiat m. Skierniewice";109;109;110;110;111;111;
1201000;"Powiat bocheński";103;102;103;102;102;102;
1202000;"Powiat brzeski";102;101;102;102;102;102;
1203000;"Powiat chrzanowski";107;107;107;107;107;107;
1204000;"Powiat dąbrowski";101;100;101;101;102;102;
1205000;"Powiat gorlicki";102;102;102;102;102;102;
1206000;"Powiat krakowski";104;104;104;104;104;104;
1207000;"Powiat limanowski";100;100;100;100;100;100;
1208000;"Powiat miechowski";103;103;103;103;104;104;
1209000;"Powiat myślenicki";102;102;102;102;102;102;
1210000;"Powiat nowosądecki";101;101;101;101;101;101;
1211000;"Powiat nowotarski";104;104;105;105;105;105;
1212000;"Powiat olkuski";106;106;106;106;106;106;
1213000;"Powiat oświęcimski";106;106;106;106;106;106;
1214000;"Powiat proszowicki";103;103;103;103;103;102;
1215000;"Powiat suski";102;102;102;102;103;103;
1216000;"Powiat tarnowski";102;102;102;101;101;102;
1217000;"Powiat tatrzański";107;107;107;107;107;107;
1218000;"Powiat wadowicki";104;104;104;104;104;104;
1219000;"Powiat wielicki";105;105;104;104;104;104;
1261000;"Powiat m. Kraków";114;114;114;114;114;114;
1262000;"Powiat m. Nowy Sącz";109;109;109;109;109;110;
1263000;"Powiat m. Tarnów";112;112;112;113;113;113;
1401000;"Powiat białobrzeski";98;98;99;99;99;99;
1402000;"Powiat ciechanowski";103;103;103;103;103;104;
1403000;"Powiat garwoliński";101;101;102;101;102;102;
1404000;"Powiat gostyniński";105;106;106;106;106;106;
1405000;"Powiat grodziski";109;109;108;108;108;108;
1406000;"Powiat grójecki";103;104;103;103;103;103;
1407000;"Powiat kozienicki";101;101;103;103;103;103;
1408000;"Powiat legionowski";107;107;107;107;107;107;
1409000;"Powiat lipski";101;102;102;102;102;102;
1410000;"Powiat łosicki";101;101;100;100;100;100;
1411000;"Powiat makowski";100;100;100;101;101;101;
1412000;"Powiat miński";105;105;105;105;104;105;
1413000;"Powiat mławski";104;104;104;104;104;104;
1414000;"Powiat nowodworski";105;105;104;104;105;104;
1415000;"Powiat ostrołęcki";97;97;97;97;97;97;
1416000;"Powiat ostrowski";102;102;103;103;103;103;
1417000;"Powiat otwocki";109;109;109;109;109;108;
1418000;"Powiat piaseczyński";109;109;107;107;107;107;
1419000;"Powiat płocki";102;102;101;102;101;101;
1420000;"Powiat płoński";103;103;103;104;104;104;
1421000;"Powiat pruszkowski";110;110;110;110;110;109;
1422000;"Powiat przasnyski";100;100;100;101;100;100;
1423000;"Powiat przysuski";101;101;102;102;102;101;
1424000;"Powiat pułtuski";102;102;102;103;102;102;
1425000;"Powiat radomski";101;101;101;101;102;102;
1426000;"Powiat siedlecki";99;99;99;99;100;100;
1427000;"Powiat sierpecki";103;103;102;102;102;102;
1428000;"Powiat sochaczewski";105;105;105;106;106;106;
1429000;"Powiat sokołowski";102;102;102;102;101;102;
1430000;"Powiat szydłowiecki";100;101;101;101;101;101;
1432000;"Powiat warszawski zachodni";108;108;106;107;107;107;
1433000;"Powiat węgrowski";100;100;101;101;101;101;
1434000;"Powiat wołomiński";107;108;106;106;106;106;
1435000;"Powiat wyszkowski";102;102;102;102;102;102;
1436000;"Powiat zwoleński";101;101;100;101;101;101;
1437000;"Powiat żuromiński";103;103;103;103;103;103;
1438000;"Powiat żyrardowski";109;109;108;108;108;108;
1461000;"Powiat m. Ostrołęka";109;109;111;111;112;112;
1462000;"Powiat m. Płock";112;112;113;113;113;113;
1463000;"Powiat m. Radom";111;111;111;111;111;111;
1464000;"Powiat m. Siedlce";111;111;111;111;111;111;
1465000;"Powiat m. st. Warszawa";117;117;117;117;117;117;
1601000;"Powiat brzeski";105;105;105;105;105;105;
1602000;"Powiat głubczycki";105;105;104;103;103;103;
1603000;"Powiat kędzierzyńsko-kozielski";107;107;108;108;108;108;
1604000;"Powiat kluczborski";105;105;105;105;104;104;
1605000;"Powiat krapkowicki";107;107;107;107;107;108;
1606000;"Powiat namysłowski";105;105;104;104;104;105;
1607000;"Powiat nyski";106;106;106;106;106;107;
1608000;"Powiat oleski";105;105;106;105;105;106;
1609000;"Powiat opolski";107;107;105;105;105;106;
