Kod;Stopa bezrobocia;Ludność w miastach;Saldo migracji;Dochody własne gminy per capita;Miesięczne wynagrodzenie brutto w relacji do średniej krajowej;Ludność na aptekę;Łóżka w szpitalach ogólnych;Współczynnik feminizacji;Mediana wieku
201000;3.9;47.35833333333334;0.001193446863025196;0.4400853146456077;89.5;-0.2395295276164411;-0.23204881186590148;1.06;42.2
202000;5.785714285714286;78.44333333333333;-0.2433961124805646;-0.47180969704576475;85.1;-0.6353047966038584;-0.3200443093656067;1.107;44.8
203000;7.285714285714286;74.17666666666666;-0.3169640658768787;1.3512069721957345;86.2;-0.27268648719746963;-0.27774285936273635;1.06;42.7
205000;10.685714285714285;54.31166666666667;-0.2161664154442665;0.03882499450227565;89.1;-0.15625381121206722;-0.41281064709119947;1.04;43.4
206000;9.028571428571428;43.205000000000005;-0.0019913130242611293;0.7718542412398884;83.4;-0.12750500232678266;0.3555066666200818;1.073;44.5
207000;6.6000000000000005;56.89333333333334;-0.18161177066720988;-0.48992827978351444;82.4;1.666899818929728;-0.11277780621871072;1.05;43.9
208000;12.028571428571428;63.51000000000001;-0.5306614543137911;-0.0639206271203287;85.1;-0.5177221682630447;0.5739051302940489;1.077;45.0
210000;7.42857142857143;62.129999999999995;-0.1564521675576479;-0.11717158370322717;81.8;-0.3665034335264479;-0.23151871850746952;1.062;43.8
211000;4.228571428571429;72.17999999999999;-0.08797982998099191;1.3254653272085661;165.1;-0.20359351650983543;0.238674090421678;1.077;43.4
212000;10.071428571428571;49.965;-0.08495430808806989;-0.8236858313124259;82.8;-0.40435603189207253;-0.140448679528859;1.05;43.4
213000;6.385714285714286;30.465;-0.09116458986827823;-0.2164923512717448;78.8;0.12749693248569163;-0.1717241876763446;1.0270000000000001;41.2
214000;5.857142857142857;55.855;0.20183331976206367;-0.10424552162812503;85.7;-0.35596220360184355;-0.28039332615489615;1.05;41.2
215000;4.442857142857143;62.90833333333333;0.12810612837138527;0.46041348064405857;91.0;0.17512412587231288;-0.28558824106752934;1.053;41.8
217000;10.642857142857142;33.88;-0.05868003901795771;-0.15186204089623562;93.2;0.3651537526040439;-0.3855638484677968;1.0270000000000001;42.6
219000;6.028571428571428;67.88333333333333;-0.23049783493705497;0.4188733153428767;90.9;-0.5776155201073876;-0.04916660320687565;1.077;43.6
220000;5.214285714285714;36.00000000000001;0.3964221488752581;0.10312386738867946;85.1;0.26137055252816654;-0.08902962376095899;1.032;41.3
221000;12.9;64.435;-0.028743296077466257;0.12024813765911352;79.6;-0.27594468553780155;-0.4555361717808154;1.078;44.2
222000;11.242857142857144;53.685;-0.04339319155898336;0.12544065832176107;108.9;0.15356251920834946;-0.4039050786695426;1.047;42.8
223000;1.6428571428571428;14.038333333333334;4.095202281969597;1.7873787078581453;105.5;0.9371592200582551;-0.4530977423320284;1.04;38.3
224000;10.028571428571428;48.1;-0.22810926502159024;-0.26664989128966093;81.9;-0.4106807698468355;-0.35195592954321064;1.057;44.4
225000;5.3;67.28666666666666;-0.2816132311280005;0.8426713847453607;88.5;-0.22429265890724065;0.09894148113901366;1.062;43.9
226000;13.828571428571427;48.77166666666667;-0.19785404609237012;-0.19373364368652235;92.8;-0.08141107874737608;-0.38874440861838855;1.043;43.1
261000;3.8285714285714283;100.0;-0.13145180244245025;0.5832663099390434;93.8;-1.166774443529819;0.10668084417212022;1.153;46.5
