"Kod";"Nazwa";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";
1406000;"Powiat grójecki";40,8;41,1;41,8;42,1;42,5;43,0;
1407000;"Powiat kozienicki";41,3;41,8;43,0;43,2;43,7;44,1;
1408000;"Powiat legionowski";40,1;40,5;40,7;41,0;41,4;41,8;
1409000;"Powiat lipski";42,7;43,1;44,0;44,3;44,7;45,2;
1410000;"Powiat łosicki";40,6;41,0;42,1;42,3;42,7;43,3;
1411000;"Powiat makowski";40,0;40,5;41,8;42,1;42,4;42,8;
1412000;"Powiat miński";39,3;39,6;40,0;40,2;40,7;41,1;
1413000;"Powiat mławski";39,6;40,0;40,9;41,3;41,6;42,0;
1414000;"Powiat nowodworski";40,3;40,7;41,3;41,7;42,1;42,6;
1415000;"Powiat ostrołęcki";37,4;37,9;38,6;38,9;39,3;39,8;
1416000;"Powiat ostrowski";40,5;40,9;41,9;42,2;42,6;43,1;
1417000;"Powiat otwocki";41,0;41,4;42,0;42,4;42,8;43,2;
1418000;"Powiat piaseczyński";39,5;39,8;39,9;40,2;40,5;40,9;
1419000;"Powiat płocki";40,0;40,4;41,2;41,5;41,9;42,3;
1420000;"Powiat płoński";40,4;40,8;41,8;42,1;42,5;43,0;
1421000;"Powiat pruszkowski";41,0;41,3;41,1;41,5;41,9;42,2;
1422000;"Powiat przasnyski";39,1;39,4;40,6;40,9;41,2;41,7;
1423000;"Powiat przysuski";40,9;41,3;42,7;42,9;43,3;43,7;
1424000;"Powiat pułtuski";39,4;39,9;40,8;41,1;41,5;41,9;
1425000;"Powiat radomski";38,2;38,6;39,4;39,8;40,2;40,7;
1426000;"Powiat siedlecki";38,6;38,9;39,4;39,7;40,0;40,5;
1427000;"Powiat sierpecki";39,9;40,3;41,7;42,0;42,4;42,8;
1428000;"Powiat sochaczewski";40,4;40,7;41,4;41,7;42,1;42,5;
1429000;"Powiat sokołowski";41,9;42,2;43,2;43,3;43,6;44,0;
1430000;"Powiat szydłowiecki";39,7;40,2;41,2;41,5;41,9;42,4;
1432000;"Powiat warszawski zachodni";40,8;41,1;40,8;41,0;41,3;41,6;
1433000;"Powiat węgrowski";40,1;40,4;41,6;41,9;42,3;42,6;
1434000;"Powiat wołomiński";38,1;38,3;38,4;38,7;39,0;39,5;
1435000;"Powiat wyszkowski";38,4;38,8;39,6;39,9;40,3;40,8;
1436000;"Powiat zwoleński";39,6;40,0;41,0;41,4;41,8;42,3;
1437000;"Powiat żuromiński";40,6;41,0;42,3;42,6;42,9;43,3;
1438000;"Powiat żyrardowski";41,0;41,4;41,9;42,3;42,7;43,2;
1461000;"Powiat m. Ostrołęka";40,9;41,3;42,6;43,1;43,7;44,4;
1462000;"Powiat m. Płock";42,5;43,0;43,9;44,3;44,8;45,4;
1463000;"Powiat m. Radom";41,9;42,4;43,3;43,7;44,2;44,8;
1464000;"Powiat m. Siedlce";39,6;39,9;40,8;41,2;41,6;42,2;
