"Kod";"Nazwa";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";
0201000;"Powiat bolesławiecki";41,1;41,5;42,1;42,4;42,9;43,4;
0202000;"Powiat dzierżoniowski";43,7;44,0;44,8;45,1;45,5;46,0;
0203000;"Powiat głogowski";41,2;41,8;42,5;42,9;43,5;44,1;
0204000;"Powiat górowski";40,1;40,6;42,1;42,6;43,0;43,5;
0205000;"Powiat jaworski";42,0;42,5;43,2;43,7;44,1;44,6;
0206000;"Powiat karkonoski";43,2;43,6;44,4;44,7;45,2;45,8;
0207000;"Powiat kamiennogórski";42,4;42,9;43,9;44,3;44,7;45,3;
0208000;"Powiat kłodzki";43,6;44,1;44,9;45,3;45,7;46,2;
0209000;"Powiat legnicki";40,8;41,3;41,8;42,2;42,7;43,2;
0210000;"Powiat lubański";42,4;42,9;43,7;44,1;44,6;45,2;
0211000;"Powiat lubiński";42,2;42,7;43,2;43,6;44,1;44,7;
0212000;"Powiat lwówecki";41,8;42,2;43,4;43,9;44,3;44,9;
0213000;"Powiat milicki";39,7;40,1;41,0;41,5;42,0;42,6;
0214000;"Powiat oleśnicki";40,1;40,5;41,0;41,4;41,8;42,3;
0215000;"Powiat oławski";40,8;41,2;41,6;42,0;42,5;43,0;
0216000;"Powiat polkowicki";39,5;39,9;40,7;41,0;41,4;41,8;
0217000;"Powiat strzeliński";41,3;41,7;42,4;42,8;43,3;43,8;
0218000;"Powiat średzki";39,8;40,1;40,4;40,7;41,0;41,4;
0219000;"Powiat świdnicki";42,4;42,8;43,5;43,9;44,4;44,8;
0220000;"Powiat trzebnicki";40,1;40,6;41,1;41,5;42,0;42,4;
0221000;"Powiat wałbrzyski";43,1;43,4;44,1;44,5;44,9;45,4;
0222000;"Powiat wołowski";41,6;42,1;42,7;43,0;43,5;44,0;
0223000;"Powiat wrocławski";38,1;38,3;37,7;38,1;38,5;39,0;
0224000;"Powiat ząbkowicki";42,8;43,3;44,4;44,8;45,2;45,7;
0225000;"Powiat zgorzelecki";42,7;43,2;43,8;44,2;44,6;45,1;
0226000;"Powiat złotoryjski";41,4;41,9;43,1;43,5;43,9;44,6;
0261000;"Powiat m. Jelenia Góra";45,6;45,8;46,3;46,6;47,0;47,5;
0262000;"Powiat m. Legnica";42,5;43,0;44,0;44,3;44,8;45,3;
0264000;"Powiat m. Wrocław";41,2;41,4;39,5;39,8;40,1;40,6;
0265000;"Powiat m. Wałbrzych od 2013";44,9;45,2;46,2;46,5;46,8;47,3;
0401000;"Powiat aleksandrowski";41,6;42,1;42,7;42,9;43,3;43,8;
0402000;"Powiat brodnicki";38,3;38,7;39,4;39,7;40,1;40,7;
0403000;"Powiat bydgoski";39,1;39,5;39,9;40,1;40,5;41,0;
0404000;"Powiat chełmiński";39,5;40,0;40,9;41,2;41,7;42,2;
0405000;"Powiat golubsko-dobrzyński";38,9;39,3;40,1;40,6;41,0;41,6;
0406000;"Powiat grudziądzki";38,7;39,2;40,1;40,4;41,0;41,5;
0407000;"Powiat inowrocławski";41,8;42,3;43,2;43,6;44,0;44,6;
0408000;"Powiat lipnowski";38,8;39,2;40,1;40,5;40,9;41,4;
0409000;"Powiat mogileński";40,6;41,0;41,8;42,2;42,6;43,1;
0410000;"Powiat nakielski";38,9;39,4;40,3;40,7;41,1;41,7;
0411000;"Powiat radziejowski";41,7;42,2;43,3;43,7;44,1;44,6;
0412000;"Powiat rypiński";39,9;40,4;41,3;41,7;42,2;42,7;
0413000;"Powiat sępoleński";39,1;39,5;40,4;40,7;41,2;41,8;
0414000;"Powiat świecki";39,7;40,2;40,9;41,3;41,8;42,2;
0415000;"Powiat toruński";38,0;38,3;38,8;39,2;39,6;40,2;
0416000;"Powiat tucholski";38,9;39,3;40,1;40,4;40,9;41,4;
0417000;"Powiat wąbrzeski";40,1;40,6;41,4;41,7;42,1;42,7;
0418000;"Powiat włocławski";41,2;41,7;42,6;42,9;43,3;43,8;
0419000;"Powiat żniński";40,3;40,7;41,6;41,9;42,4;42,9;
0461000;"Powiat m. Bydgoszcz";43,1;43,5;43,5;43,9;44,4;44,9;
0462000;"Powiat m. Grudziądz";42,5;42,9;43,8;44,1;44,5;45,0;
0463000;"Powiat m. Toruń";41,5;41,9;42,2;42,6;43,1;43,6;
0464000;"Powiat m. Włocławek";43,8;44,3;45,5;45,9;46,5;47,1;
0601000;"Powiat bialski";39,4;39,9;41,0;41,3;41,7;42,1;
0602000;"Powiat biłgorajski";40,5;41,1;41,9;42,3;42,8;43,4;
0603000;"Powiat chełmski";40,0;40,5;41,6;42,0;42,4;42,9;
0604000;"Powiat hrubieszowski";42,6;43,1;44,4;44,7;45,2;45,8;
0605000;"Powiat janowski";41,2;41,7;42,7;43,0;43,5;44,0;
0606000;"Powiat krasnostawski";43,2;43,7;44,8;45,1;45,5;46,0;
0607000;"Powiat kraśnicki";41,9;42,4;43,4;43,8;44,3;44,9;
0608000;"Powiat lubartowski";40,1;40,6;41,6;42,0;42,4;43,0;
0609000;"Powiat lubelski";39,4;39,8;40,2;40,6;41,0;41,4;
0610000;"Powiat łęczyński";38,3;38,9;39,4;39,8;40,4;41,0;
0611000;"Powiat łukowski";38,0;38,5;39,5;39,8;40,3;40,8;
0612000;"Powiat opolski";41,3;41,8;42,7;43,0;43,5;44,0;
0613000;"Powiat parczewski";41,0;41,3;42,3;42,6;43,1;43,7;
